UF,Municipios,Alias
MA,MONTES ALTOS,MONTES ALTOS
MA,MORROS,MORROS
MA,NINA RODRIGUES,NINA RODRIGUES
MA,NOVA COLINAS,NOVA COLINAS
MA,NOVA IORQUE,NOVA IORQUE
MA,NOVA OLINDA DO MARANHAO,NOVA OLINDA DO MARANHAO
MA,OLHO D´AGUA DAS CUNHAS,OLHO D´AGUA DAS CUNHAS
MA,OLINDA NOVA DO MARANHAO,OLINDA NOVA DO MARANHAO
MA,PACO DO LUMIAR,PACO DO LUMIAR
MA,PALMEIRANDIA,PALMEIRANDIA
MA,PARAIBANO,PARAIBANO
MA,PARNARAMA,PARNARAMA
MA,PASSAGEM FRANCA,PASSAGEM FRANCA
MA,PASTOS BONS,PASTOS BONS
MA,PAULINO NEVES,PAULINO NEVES
MA,PAULO RAMOS,PAULO RAMOS
MA,PEDREIRAS,PEDREIRAS
MA,PEDRO DO ROSARIO,PEDRO DO ROSARIO
MA,PENALVA,PENALVA
MA,PERI MIRIM,PERI MIRIM
MA,PERITORO,PERITORO
MA,PINDARE-MIRIM,PINDARE-MIRIM
MA,PINHEIRO,PINHEIRO
MA,PIO XII,PIO XII
MA,PIRAPEMAS,PIRAPEMAS
MA,POCAO DE PEDRAS,POCAO DE PEDRAS
MA,PORTO FRANCO,PORTO FRANCO
MA,PORTO RICO DO MARANHAO,PORTO RICO DO MARANHAO
MA,PRESIDENTE DUTRA,PRESIDENTE DUTRA
MA,PRESIDENTE JUSCELINO,PRESIDENTE JUSCELINO
MA,PRESIDENTE MEDICI,PRESIDENTE MEDICI
MA,PRESIDENTE SARNEY,PRESIDENTE SARNEY
MA,PRESIDENTE VARGAS,PRESIDENTE VARGAS
MA,PRIMEIRA CRUZ,PRIMEIRA CRUZ
MA,RAPOSA,RAPOSA
MA,RIACHAO,RIACHAO
MA,RIBAMAR FIQUENE,RIBAMAR FIQUENE
MA,ROSARIO,ROSARIO
MA,SAMBAIBA,SAMBAIBA
MA,SANTA FILOMENA DO MARANHAO,SANTA FILOMENA DO MARANHAO
MA,SANTA HELENA,SANTA HELENA
MA,SANTA INES,SANTA INES
MA,SANTA LUZIA,SANTA LUZIA
MA,SANTA LUZIA DO PARUA,SANTA LUZIA DO PARUA
MA,SANTA QUITERIA DO MARANHAO,SANTA QUITERIA DO MARANHAO
MA,SANTA RITA,SANTA RITA
MA,SANTANA DO MARANHAO,SANTANA DO MARANHAO
MA,SANTO AMARO DO MARANHAO,SANTO AMARO DO MARANHAO
MA,SANTO ANTONIO DOS LOPES,SANTO ANTONIO DOS LOPES
MA,SAO BENEDITO DO RIO PRETO,SAO BENEDITO DO RIO PRETO
MA,SAO BENTO,SAO BENTO
MA,SAO BERNARDO,SAO BERNARDO
MA,SAO DOMINGOS DO AZEITAO,SAO DOMINGOS DO AZEITAO
MA,SAO DOMINGOS DO MARANHAO,SAO DOMINGOS DO MARANHAO
MA,SAO FELIX DE BALSAS,SAO FELIX DE BALSAS
MA,SAO FRANCISCO DO BREJAO,SAO FRANCISCO DO BREJAO
MA,SAO FRANCISCO DO MARANHAO,SAO FRANCISCO DO MARANHAO
MA,SAO JOAO BATISTA,SAO JOAO BATISTA
MA,SAO JOAO DO CARU,SAO JOAO DO CARU
MA,SAO JOAO DO PARAISO,SAO JOAO DO PARAISO
MA,SAO JOAO DO SOTER,SAO JOAO DO SOTER
MA,SAO JOAO DOS PATOS,SAO JOAO DOS PATOS
MA,SAO JOSE DE RIBAMAR,SAO JOSE DE RIBAMAR
MA,SAO JOSE DOS BASILIOS,SAO JOSE DOS BASILIOS
MA,SAO LUIS,SAO LUIS
MA,SAO LUIS GONZAGA DO MARANHAO,SAO LUIS GONZAGA DO MARANHAO
MA,SAO MATEUS DO MARANHAO,SAO MATEUS DO MARANHAO
MA,SAO PEDRO DA AGUA BRANCA,SAO PEDRO DA AGUA BRANCA
MA,SAO PEDRO DOS CRENTES,SAO PEDRO DOS CRENTES
MA,SAO RAIMUNDO DAS MANGABEIRAS,SAO RAIMUNDO DAS MANGABEIRAS
MA,SAO RAIMUNDO DO DOCA BEZERRA,SAO RAIMUNDO DO DOCA BEZERRA
MA,SAO ROBERTO,SAO ROBERTO
MA,SAO VICENTE FERRER,SAO VICENTE FERRER
MA,SATUBINHA,SATUBINHA
MA,SENADOR ALEXANDRE COSTA,SENADOR ALEXANDRE COSTA
MA,SENADOR LA ROCQUE,SENADOR LA ROCQUE
MA,SERRANO DO MARANHAO,SERRANO DO MARANHAO
MA,SITIO NOVO,SITIO NOVO
MA,SUCUPIRA DO NORTE,SUCUPIRA DO NORTE
MA,SUCUPIRA DO RIACHAO,SUCUPIRA DO RIACHAO
MA,TASSO FRAGOSO,TASSO FRAGOSO
MA,TIMBIRAS,TIMBIRAS
MA,TIMON,TIMON
MA,TRIZIDELA DO VALE,TRIZIDELA DO VALE
MA,TUFILANDIA,TUFILANDIA
MA,TUNTUM,TUNTUM
MA,TURIACU,TURIACU
MA,TURILANDIA,TURILANDIA
MA,TUTOIA,TUTOIA
MA,URBANO SANTOS,URBANO SANTOS
MA,VARGEM GRANDE,VARGEM GRANDE
MA,VIANA,VIANA
MA,VILA NOVA DOS MARTIRIOS,VILA NOVA DOS MARTIRIOS
MA,VITORIA DO MEARIM,VITORIA DO MEARIM
MA,VITORINO FREIRE,VITORINO FREIRE
MA,ZE DOCA,ZE DOCA
PI,ACAUA,ACAUA
PI,AGRICOLANDIA,AGRICOLANDIA
PI,AGUA BRANCA,AGUA BRANCA
PI,ALAGOINHA DO PIAUI,ALAGOINHA DO PIAUI
PI,ALEGRETE DO PIAUI,ALEGRETE DO PIAUI
PI,ALTO LONGA,ALTO LONGA
PI,ALTOS,ALTOS
PI,ALVORADA DO GURGUEIA,ALVORADA DO GURGUEIA
PI,AMARANTE,AMARANTE
PI,ANGICAL DO PIAUI,ANGICAL DO PIAUI
PI,ANISIO DE ABREU,ANISIO DE ABREU
PI,ANTONIO ALMEIDA,ANTONIO ALMEIDA
PI,AROAZES,AROAZES
PI,AROEIRAS DO ITAIM,AROEIRAS DO ITAIM
PI,ARRAIAL,ARRAIAL
PI,ASSUNCAO DO PIAUI,ASSUNCAO DO PIAUI
PI,AVELINO LOPES,AVELINO LOPES
PI,BAIXA GRANDE DO RIBEIRO,BAIXA GRANDE DO RIBEIRO
PI,BARRA D´ALCANTARA,BARRA D´ALCANTARA
PI,BARRAS,BARRAS
PI,BARREIRAS DO PIAUI,BARREIRAS DO PIAUI
PI,BARRO DURO,BARRO DURO
PI,BATALHA,BATALHA
PI,BELA VISTA DO PIAUI,BELA VISTA DO PIAUI
PI,BELEM DO PIAUI,BELEM DO PIAUI
PI,BENEDITINOS,BENEDITINOS
PI,BERTOLINIA,BERTOLINIA
PI,BETANIA DO PIAUI,BETANIA DO PIAUI
PI,BOA HORA,BOA HORA
PI,BOCAINA,BOCAINA
PI,BOM JESUS,BOM JESUS
PI,BOM PRINCIPIO DO PIAUI,BOM PRINCIPIO DO PIAUI
PI,BONFIM DO PIAUI,BONFIM DO PIAUI
PI,BOQUEIRAO DO PIAUI,BOQUEIRAO DO PIAUI
PI,BRASILEIRA,BRASILEIRA
PI,BREJO DO PIAUI,BREJO DO PIAUI
PI,BURITI DOS LOPES,BURITI DOS LOPES
PI,BURITI DOS MONTES,BURITI DOS MONTES
PI,CABECEIRAS DO PIAUI,CABECEIRAS DO PIAUI
PI,CAJAZEIRAS DO PIAUI,CAJAZEIRAS DO PIAUI
PI,CAJUEIRO DA PRAIA,CAJUEIRO DA PRAIA
PI,CALDEIRAO GRANDE DO PIAUI,CALDEIRAO GRANDE DO PIAUI
PI,CAMPINAS DO PIAUI,CAMPINAS DO PIAUI
PI,CAMPO ALEGRE DO FIDALGO,CAMPO ALEGRE DO FIDALGO
PI,CAMPO GRANDE DO PIAUI,CAMPO GRANDE DO PIAUI
PI,CAMPO LARGO DO PIAUI,CAMPO LARGO DO PIAUI
PI,CAMPO MAIOR,CAMPO MAIOR
PI,CANAVIEIRA,CANAVIEIRA
PI,CANTO DO BURITI,CANTO DO BURITI
PI,CAPITAO DE CAMPOS,CAPITAO DE CAMPOS
PI,CAPITAO GERVASIO OLIVEIRA,CAPITAO GERVASIO OLIVEIRA
PI,CARACOL,CARACOL
PI,CARAUBAS DO PIAUI,CARAUBAS DO PIAUI
PI,CARIDADE DO PIAUI,CARIDADE DO PIAUI
PI,CASTELO DO PIAUI,CASTELO DO PIAUI
PI,CAXINGO,CAXINGO
PI,COCAL,COCAL
PI,COCAL DE TELHA,COCAL DE TELHA
PI,COCAL DOS ALVES,COCAL DOS ALVES
PI,COIVARAS,COIVARAS
PI,COLONIA DO GURGUEIA,COLONIA DO GURGUEIA
PI,COLONIA DO PIAUI,COLONIA DO PIAUI
PI,CONCEICAO DO CANINDE,CONCEICAO DO CANINDE
PI,CORONEL JOSE DIAS,CORONEL JOSE DIAS
PI,CORRENTE,CORRENTE
PI,CRISTALANDIA DO PIAUI,CRISTALANDIA DO PIAUI
PI,CRISTINO CASTRO,CRISTINO CASTRO
PI,CURIMATA,CURIMATA
PI,CURRAIS,CURRAIS
PI,CURRALINHOS,CURRALINHOS
PI,CURRAL NOVO DO PIAUI,CURRAL NOVO DO PIAUI
PI,DEMERVAL LOBAO,DEMERVAL LOBAO
PI,DIRCEU ARCOVERDE,DIRCEU ARCOVERDE
PI,DOM EXPEDITO LOPES,DOM EXPEDITO LOPES
PI,DOMINGOS MOURAO,DOMINGOS MOURAO
PI,DOM INOCENCIO,DOM INOCENCIO
PI,ELESBAO VELOSO,ELESBAO VELOSO
PI,ELISEU MARTINS,ELISEU MARTINS
PI,ESPERANTINA,ESPERANTINA
PI,FARTURA DO PIAUI,FARTURA DO PIAUI
PI,FLORES DO PIAUI,FLORES DO PIAUI
PI,FLORESTA DO PIAUI,FLORESTA DO PIAUI
PI,FLORIANO,FLORIANO
PI,FRANCINOPOLIS,FRANCINOPOLIS
PI,FRANCISCO AYRES,FRANCISCO AYRES
PI,FRANCISCO MACEDO,FRANCISCO MACEDO
PI,FRANCISCO SANTOS,FRANCISCO SANTOS
PI,FRONTEIRAS,FRONTEIRAS
PI,GEMINIANO,GEMINIANO
PI,GILBUES,GILBUES
PI,GUADALUPE,GUADALUPE
PI,GUARIBAS,GUARIBAS
PI,HUGO NAPOLEAO,HUGO NAPOLEAO
PI,ILHA GRANDE,ILHA GRANDE
PI,INHUMA,INHUMA
PI,IPIRANGA DO PIAUI,IPIRANGA DO PIAUI
PI,ISAIAS COELHO,ISAIAS COELHO
PI,ITAINOPOLIS,ITAINOPOLIS
PI,ITAUEIRA,ITAUEIRA
PI,JACOBINA DO PIAUI,JACOBINA DO PIAUI
PI,JAICOS,JAICOS
PI,JARDIM DO MULATO,JARDIM DO MULATO
PI,JATOBA DO PIAUI,JATOBA DO PIAUI
PI,JERUMENHA,JERUMENHA
PI,JOAO COSTA,JOAO COSTA
PI,JOAQUIM PIRES,JOAQUIM PIRES
PI,JOCA MARQUES,JOCA MARQUES
PI,JOSE DE FREITAS,JOSE DE FREITAS
PI,JUAZEIRO DO PIAUI,JUAZEIRO DO PIAUI
PI,JULIO BORGES,JULIO BORGES
PI,JUREMA,JUREMA
PI,LAGOINHA DO PIAUI,LAGOINHA DO PIAUI
PI,LAGOA ALEGRE,LAGOA ALEGRE
PI,LAGOA DO BARRO DO PIAUI,LAGOA DO BARRO DO PIAUI
PI,LAGOA DE SAO FRANCISCO,LAGOA DE SAO FRANCISCO
PI,LAGOA DO PIAUI,LAGOA DO PIAUI
PI,LAGOA DO SITIO,LAGOA DO SITIO
PI,LANDRI SALES,LANDRI SALES
PI,LUIS CORREIA,LUIS CORREIA
PI,LUZILANDIA,LUZILANDIA
PI,MADEIRO,MADEIRO
PI,MANOEL EMIDIO,MANOEL EMIDIO
PI,MARCOLANDIA,MARCOLANDIA
PI,MARCOS PARENTE,MARCOS PARENTE
PI,MASSAPE DO PIAUI,MASSAPE DO PIAUI
PI,MATIAS OLIMPIO,MATIAS OLIMPIO
PI,MIGUEL ALVES,MIGUEL ALVES
PI,MIGUEL LEAO,MIGUEL LEAO
PI,MILTON BRANDAO,MILTON BRANDAO
PI,MONSENHOR GIL,MONSENHOR GIL
PI,MONSENHOR HIPOLITO,MONSENHOR HIPOLITO
PI,MONTE ALEGRE DO PIAUI,MONTE ALEGRE DO PIAUI
PI,MORRO CABECA NO TEMPO,MORRO CABECA NO TEMPO
PI,MORRO DO CHAPEU DO PIAUI,MORRO DO CHAPEU DO PIAUI
PI,MURICI DOS PORTELAS,MURICI DOS PORTELAS
PI,NAZARE DO PIAUI,NAZARE DO PIAUI
PI,NAZARIA,NAZARIA
PI,NOSSA SENHORA DE NAZARE,NOSSA SENHORA DE NAZARE
PI,NOSSA SENHORA DOS REMEDIOS,NOSSA SENHORA DOS REMEDIOS
PI,NOVO ORIENTE DO PIAUI,NOVO ORIENTE DO PIAUI
PI,NOVO SANTO ANTONIO,NOVO SANTO ANTONIO
PI,OEIRAS,OEIRAS
PI,OLHO D´AGUA DO PIAUI,OLHO D´AGUA DO PIAUI
PI,PADRE MARCOS,PADRE MARCOS
PI,PAES LANDIM,PAES LANDIM
PI,PAJEU DO PIAUI,PAJEU DO PIAUI
PI,PALMEIRA DO PIAUI,PALMEIRA DO PIAUI
PI,PALMEIRAIS,PALMEIRAIS
PI,PAQUETA,PAQUETA
PI,PARNAGUA,PARNAGUA
PI,PARNAIBA,PARNAIBA
PI,PASSAGEM FRANCA DO PIAUI,PASSAGEM FRANCA DO PIAUI
PI,PATOS DO PIAUI,PATOS DO PIAUI
PI,PAU D´ARCO DO PIAUI,PAU D´ARCO DO PIAUI
PI,PAULISTANA,PAULISTANA
PI,PAVUSSU,PAVUSSU
PI,PEDRO II,PEDRO II
PI,PEDRO LAURENTINO,PEDRO LAURENTINO
PI,NOVA SANTA RITA,NOVA SANTA RITA
PI,PICOS,PICOS
PI,PIMENTEIRAS,PIMENTEIRAS
PI,PIO IX,PIO IX
PI,PIRACURUCA,PIRACURUCA
PI,PIRIPIRI,PIRIPIRI
PI,PORTO,PORTO
PI,PORTO ALEGRE DO PIAUI,PORTO ALEGRE DO PIAUI
PI,PRATA DO PIAUI,PRATA DO PIAUI
PI,QUEIMADA NOVA,QUEIMADA NOVA
PI,REDENCAO DO GURGUEIA,REDENCAO DO GURGUEIA
PI,REGENERACAO,REGENERACAO
PI,RIACHO FRIO,RIACHO FRIO
PI,RIBEIRA DO PIAUI,RIBEIRA DO PIAUI
PI,RIBEIRO GONCALVES,RIBEIRO GONCALVES
PI,RIO GRANDE DO PIAUI,RIO GRANDE DO PIAUI
PI,SANTA CRUZ DO PIAUI,SANTA CRUZ DO PIAUI
PI,SANTA CRUZ DOS MILAGRES,SANTA CRUZ DOS MILAGRES
PI,SANTA FILOMENA,SANTA FILOMENA
PI,SANTA LUZ,SANTA LUZ
PI,SANTANA DO PIAUI,SANTANA DO PIAUI
PI,SANTA ROSA DO PIAUI,SANTA ROSA DO PIAUI
PI,SANTO ANTONIO DE LISBOA,SANTO ANTONIO DE LISBOA
PI,SANTO ANTONIO DOS MILAGRES,SANTO ANTONIO DOS MILAGRES
PI,SANTO INACIO DO PIAUI,SANTO INACIO DO PIAUI
PI,SAO BRAZ DO PIAUI,SAO BRAZ DO PIAUI
PI,SAO FELIX DO PIAUI,SAO FELIX DO PIAUI
PI,SAO FRANCISCO DE ASSIS DO PIAUI,SAO FRANCISCO DE ASSIS DO PIAUI
PI,SAO FRANCISCO DO PIAUI,SAO FRANCISCO DO PIAUI
PI,SAO GONCALO DO GURGUEIA,SAO GONCALO DO GURGUEIA
PI,SAO GONCALO DO PIAUI,SAO GONCALO DO PIAUI
PI,SAO JOAO DA CANABRAVA,SAO JOAO DA CANABRAVA
PI,SAO JOAO DA FRONTEIRA,SAO JOAO DA FRONTEIRA
PI,SAO JOAO DA SERRA,SAO JOAO DA SERRA
PI,SAO JOAO DA VARJOTA,SAO JOAO DA VARJOTA
PI,SAO JOAO DO ARRAIAL,SAO JOAO DO ARRAIAL
PI,SAO JOAO DO PIAUI,SAO JOAO DO PIAUI
PI,SAO JOSE DO DIVINO,SAO JOSE DO DIVINO
PI,SAO JOSE DO PEIXE,SAO JOSE DO PEIXE
PI,SAO JOSE DO PIAUI,SAO JOSE DO PIAUI
PI,SAO JULIAO,SAO JULIAO
PI,SAO LOURENCO DO PIAUI,SAO LOURENCO DO PIAUI
PI,SAO LUIS DO PIAUI,SAO LUIS DO PIAUI
PI,SAO MIGUEL DA BAIXA GRANDE,SAO MIGUEL DA BAIXA GRANDE
PI,SAO MIGUEL DO FIDALGO,SAO MIGUEL DO FIDALGO
PI,SAO MIGUEL DO TAPUIO,SAO MIGUEL DO TAPUIO
PI,SAO PEDRO DO PIAUI,SAO PEDRO DO PIAUI
PI,SAO RAIMUNDO NONATO,SAO RAIMUNDO NONATO
PI,SEBASTIAO BARROS,SEBASTIAO BARROS
PI,SEBASTIAO LEAL,SEBASTIAO LEAL
PI,SIGEFREDO PACHECO,SIGEFREDO PACHECO
PI,SIMOES,SIMOES
PI,SIMPLICIO MENDES,SIMPLICIO MENDES
PI,SOCORRO DO PIAUI,SOCORRO DO PIAUI
PI,SUSSUAPARA,SUSSUAPARA
PI,TAMBORIL DO PIAUI,TAMBORIL DO PIAUI
PI,TANQUE DO PIAUI,TANQUE DO PIAUI
PI,TERESINA,TERESINA
PI,UNIAO,UNIAO
PI,URUCUI,URUCUI
PI,VALENCA DO PIAUI,VALENCA DO PIAUI
PI,VARZEA BRANCA,VARZEA BRANCA
PI,VARZEA GRANDE,VARZEA GRANDE
PI,VERA MENDES,VERA MENDES
PI,VILA NOVA DO PIAUI,VILA NOVA DO PIAUI
PI,WALL FERRAZ,WALL FERRAZ
CE,ABAIARA,ABAIARA
CE,ACARAPE,ACARAPE
CE,ACARAU,ACARAU
CE,ACOPIARA,ACOPIARA
CE,AIUABA,AIUABA
CE,ALCANTARAS,ALCANTARAS
CE,ALTANEIRA,ALTANEIRA
CE,ALTO SANTO,ALTO SANTO
CE,AMONTADA,AMONTADA
CE,ANTONINA DO NORTE,ANTONINA DO NORTE
CE,APUIARES,APUIARES
CE,AQUIRAZ,AQUIRAZ
CE,ARACATI,ARACATI
CE,ARACOIABA,ARACOIABA
CE,ARARENDA,ARARENDA
CE,ARARIPE,ARARIPE
CE,ARATUBA,ARATUBA
CE,ARNEIROZ,ARNEIROZ
CE,ASSARE,ASSARE
CE,AURORA,AURORA
CE,BAIXIO,BAIXIO
CE,BANABUIU,BANABUIU
CE,BARBALHA,BARBALHA
CE,BARREIRA,BARREIRA
CE,BARRO,BARRO
CE,BARROQUINHA,BARROQUINHA
CE,BATURITE,BATURITE
CE,BEBERIBE,BEBERIBE
CE,BELA CRUZ,BELA CRUZ
CE,BOA VIAGEM,BOA VIAGEM
CE,BREJO SANTO,BREJO SANTO
CE,CAMOCIM,CAMOCIM
CE,CAMPOS SALES,CAMPOS SALES
CE,CANINDE,CANINDE
CE,CAPISTRANO,CAPISTRANO
CE,CARIDADE,CARIDADE
CE,CARIRE,CARIRE
CE,CARIRIACU,CARIRIACU
CE,CARIUS,CARIUS
CE,CARNAUBAL,CARNAUBAL
CE,CASCAVEL,CASCAVEL
CE,CATARINA,CATARINA
CE,CATUNDA,CATUNDA
CE,CAUCAIA,CAUCAIA
CE,CEDRO,CEDRO
CE,CHAVAL,CHAVAL
CE,CHORO,CHORO
CE,CHOROZINHO,CHOROZINHO
CE,COREAU,COREAU
CE,CRATEUS,CRATEUS
CE,CRATO,CRATO
CE,CROATA,CROATA
CE,CRUZ,CRUZ
CE,DEPUTADO IRAPUAN PINHEIRO,DEPUTADO IRAPUAN PINHEIRO
CE,ERERE,ERERE
CE,EUSEBIO,EUSEBIO
CE,FARIAS BRITO,FARIAS BRITO
CE,FORQUILHA,FORQUILHA
CE,FORTALEZA,FORTALEZA
CE,FORTIM,FORTIM
CE,FRECHEIRINHA,FRECHEIRINHA
CE,GENERAL SAMPAIO,GENERAL SAMPAIO
CE,GRACA,GRACA
CE,GRANJA,GRANJA
CE,GRANJEIRO,GRANJEIRO
CE,GROAIRAS,GROAIRAS
CE,GUAIUBA,GUAIUBA
CE,GUARACIABA DO NORTE,GUARACIABA DO NORTE
CE,GUARAMIRANGA,GUARAMIRANGA
CE,HIDROLANDIA,HIDROLANDIA
CE,HORIZONTE,HORIZONTE
CE,IBARETAMA,IBARETAMA
CE,IBIAPINA,IBIAPINA
CE,IBICUITINGA,IBICUITINGA
CE,ICAPUI,ICAPUI
CE,ICO,ICO
CE,IGUATU,IGUATU
CE,INDEPENDENCIA,INDEPENDENCIA
CE,IPAPORANGA,IPAPORANGA
CE,IPAUMIRIM,IPAUMIRIM
CE,IPU,IPU
CE,IPUEIRAS,IPUEIRAS
CE,IRACEMA,IRACEMA
CE,IRAUCUBA,IRAUCUBA
CE,ITAICABA,ITAICABA
CE,ITAITINGA,ITAITINGA
CE,ITAPAGE,ITAPAGE
CE,ITAPIPOCA,ITAPIPOCA
CE,ITAPIUNA,ITAPIUNA
CE,ITAREMA,ITAREMA
CE,ITATIRA,ITATIRA
CE,JAGUARETAMA,JAGUARETAMA
CE,JAGUARIBARA,JAGUARIBARA
CE,JAGUARIBE,JAGUARIBE
CE,JAGUARUANA,JAGUARUANA
CE,JARDIM,JARDIM
CE,JATI,JATI
CE,JIJOCA DE JERICOACOARA,JIJOCA DE JERICOACOARA
CE,JUAZEIRO DO NORTE,JUAZEIRO DO NORTE
CE,JUCAS,JUCAS
CE,LAVRAS DA MANGABEIRA,LAVRAS DA MANGABEIRA
CE,LIMOEIRO DO NORTE,LIMOEIRO DO NORTE
CE,MADALENA,MADALENA
CE,MARACANAU,MARACANAU
CE,MARANGUAPE,MARANGUAPE
CE,MARCO,MARCO
CE,MARTINOPOLE,MARTINOPOLE
CE,MASSAPE,MASSAPE
CE,MAURITI,MAURITI
CE,MERUOCA,MERUOCA
CE,MILAGRES,MILAGRES
CE,MILHA,MILHA
CE,MIRAIMA,MIRAIMA
CE,MISSAO VELHA,MISSAO VELHA
CE,MOMBACA,MOMBACA
CE,MONSENHOR TABOSA,MONSENHOR TABOSA
CE,MORADA NOVA,MORADA NOVA
CE,MORAUJO,MORAUJO
CE,MORRINHOS,MORRINHOS
CE,MUCAMBO,MUCAMBO
CE,MULUNGU,MULUNGU
CE,NOVA OLINDA,NOVA OLINDA
CE,NOVA RUSSAS,NOVA RUSSAS
CE,NOVO ORIENTE,NOVO ORIENTE
CE,OCARA,OCARA
CE,OROS,OROS
CE,PACAJUS,PACAJUS
CE,PACATUBA,PACATUBA
CE,PACOTI,PACOTI
CE,PACUJA,PACUJA
CE,PALHANO,PALHANO
CE,PALMACIA,PALMACIA
CE,PARACURU,PARACURU
CE,PARAIPABA,PARAIPABA
CE,PARAMBU,PARAMBU
CE,PARAMOTI,PARAMOTI
CE,PEDRA BRANCA,PEDRA BRANCA
CE,PENAFORTE,PENAFORTE
CE,PENTECOSTE,PENTECOSTE
CE,PEREIRO,PEREIRO
CE,PINDORETAMA,PINDORETAMA
CE,PIQUET CARNEIRO,PIQUET CARNEIRO
CE,PIRES FERREIRA,PIRES FERREIRA
CE,PORANGA,PORANGA
CE,PORTEIRAS,PORTEIRAS
CE,POTENGI,POTENGI
CE,POTIRETAMA,POTIRETAMA
CE,QUITERIANOPOLIS,QUITERIANOPOLIS
CE,QUIXADA,QUIXADA
CE,QUIXELO,QUIXELO
CE,QUIXERAMOBIM,QUIXERAMOBIM
CE,QUIXERE,QUIXERE
CE,REDENCAO,REDENCAO
CE,RERIUTABA,RERIUTABA
CE,RUSSAS,RUSSAS
CE,SABOEIRO,SABOEIRO
CE,SALITRE,SALITRE
CE,SANTANA DO ACARAU,SANTANA DO ACARAU
CE,SANTANA DO CARIRI,SANTANA DO CARIRI
CE,SANTA QUITERIA,SANTA QUITERIA
CE,SAO BENEDITO,SAO BENEDITO
CE,SAO GONCALO DO AMARANTE,SAO GONCALO DO AMARANTE
CE,SAO JOAO DO JAGUARIBE,SAO JOAO DO JAGUARIBE
CE,SAO LUIS DO CURU,SAO LUIS DO CURU
CE,SENADOR POMPEU,SENADOR POMPEU
CE,SENADOR SA,SENADOR SA
CE,SOBRAL,SOBRAL
CE,SOLONOPOLE,SOLONOPOLE
CE,TABULEIRO DO NORTE,TABULEIRO DO NORTE
CE,TAMBORIL,TAMBORIL
CE,TARRAFAS,TARRAFAS
CE,TAUA,TAUA
CE,TEJUCUOCA,TEJUCUOCA
CE,TIANGUA,TIANGUA
CE,TRAIRI,TRAIRI
CE,TURURU,TURURU
CE,UBAJARA,UBAJARA
CE,UMARI,UMARI
CE,UMIRIM,UMIRIM
CE,URUBURETAMA,URUBURETAMA
CE,URUOCA,URUOCA
CE,VARJOTA,VARJOTA
CE,VARZEA ALEGRE,VARZEA ALEGRE
CE,VICOSA DO CEARA,VICOSA DO CEARA
RN,ACARI,ACARI
RN,ACU,ACU
RN,AFONSO BEZERRA,AFONSO BEZERRA
RN,AGUA NOVA,AGUA NOVA
RN,ALEXANDRIA,ALEXANDRIA
RN,ALMINO AFONSO,ALMINO AFONSO
RN,ALTO DO RODRIGUES,ALTO DO RODRIGUES
RN,ANGICOS,ANGICOS
RN,ANTONIO MARTINS,ANTONIO MARTINS
RN,APODI,APODI
RN,AREIA BRANCA,AREIA BRANCA
RN,ARES,ARES
RN,AUGUSTO SEVERO,AUGUSTO SEVERO
RN,BAIA FORMOSA,BAIA FORMOSA
RN,BARAUNA,BARAUNA
RN,BARCELONA,BARCELONA
RN,BENTO FERNANDES,BENTO FERNANDES
RN,BODO,BODO
RN,BOM JESUS,BOM JESUS
RN,BREJINHO,BREJINHO
RN,CAICARA DO NORTE,CAICARA DO NORTE
RN,CAICARA DO RIO DO VENTO,CAICARA DO RIO DO VENTO
RN,CAICO,CAICO
RN,CAMPO REDONDO,CAMPO REDONDO
RN,CANGUARETAMA,CANGUARETAMA
RN,CARAUBAS,CARAUBAS
RN,CARNAUBA DOS DANTAS,CARNAUBA DOS DANTAS
RN,CARNAUBAIS,CARNAUBAIS
RN,CEARA-MIRIM,CEARA-MIRIM
RN,CERRO CORA,CERRO CORA
RN,CORONEL EZEQUIEL,CORONEL EZEQUIEL
RN,CORONEL JOAO PESSOA,CORONEL JOAO PESSOA
RN,CRUZETA,CRUZETA
RN,CURRAIS NOVOS,CURRAIS NOVOS
RN,DOUTOR SEVERIANO,DOUTOR SEVERIANO
RN,PARNAMIRIM,PARNAMIRIM
RN,ENCANTO,ENCANTO
RN,EQUADOR,EQUADOR
RN,ESPIRITO SANTO,ESPIRITO SANTO
RN,EXTREMOZ,EXTREMOZ
RN,FELIPE GUERRA,FELIPE GUERRA
RN,FERNANDO PEDROZA,FERNANDO PEDROZA
RN,FLORANIA,FLORANIA
RN,FRANCISCO DANTAS,FRANCISCO DANTAS
RN,FRUTUOSO GOMES,FRUTUOSO GOMES
RN,GALINHOS,GALINHOS
RN,GOIANINHA,GOIANINHA
RN,GOVERNADOR DIX-SEPT ROSADO,GOVERNADOR DIX-SEPT ROSADO
RN,GROSSOS,GROSSOS
RN,GUAMARE,GUAMARE
RN,IELMO MARINHO,IELMO MARINHO
RN,IPANGUACU,IPANGUACU
RN,IPUEIRA,IPUEIRA
RN,ITAJA,ITAJA
RN,ITAU,ITAU
RN,JACANA,JACANA
RN,JANDAIRA,JANDAIRA
RN,JANDUIS,JANDUIS
RN,JANUARIO CICCO,JANUARIO CICCO
RN,JAPI,JAPI
RN,JARDIM DE ANGICOS,JARDIM DE ANGICOS
RN,JARDIM DE PIRANHAS,JARDIM DE PIRANHAS
RN,JARDIM DO SERIDO,JARDIM DO SERIDO
RN,JOAO CAMARA,JOAO CAMARA
